# Files moved to deprecated folder - 2025-05-21 04:05:40
# Format: timestamp | original path | new path | status
# ------------------------------------------------------
2025-05-21 04:05:40 | check_db.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/check_db.php | SUCCESS
2025-05-21 04:05:40 | test_program_filter.html | D:\xampp\htdocs\pcds2030_dashboard/deprecated/test_program_filter.html | SUCCESS
2025-05-21 04:05:40 | ajax/add_quarter_column.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/ajax/add_quarter_column.php | SUCCESS
2025-05-21 04:05:40 | ajax/add_reporting_period_column.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/ajax/add_reporting_period_column.php | SUCCESS
2025-05-21 04:05:40 | api/check_metric.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/check_metric.php | SUCCESS
2025-05-21 04:05:40 | api/check_outcome.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/check_outcome.php | SUCCESS
2025-05-21 04:05:40 | api/get_metric_data.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/get_metric_data.php | SUCCESS
2025-05-21 04:05:40 | api/get_outcome_data.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/get_outcome_data.php | SUCCESS
2025-05-21 04:05:40 | api/get_periods.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/get_periods.php | SUCCESS
2025-05-21 04:05:40 | api/get_recent_reports.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/get_recent_reports.php | SUCCESS
2025-05-21 04:05:40 | api/get_sectors.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/get_sectors.php | SUCCESS
2025-05-21 04:05:40 | api/save_metric_json.php | D:\xampp\htdocs\pcds2030_dashboard/deprecated/api/save_metric_json.php | SUCCESS
