Row,2022,2023,2024,2025,2026
January,408531176.77,263569916.63,276004972.69,0,0
February,239761718.38,226356164.3,191530929.47,0,0
March,394935606.46,261778295.29,214907671.7,0,0
April,400891037.27,215771835.07,232014272.14,0,0
May,345725679.36,324280067.64,324627750.87,0,0
June,268966198.26,235560482.89,212303812.34,0,0
July,359792973.34,244689028.37,274788036.68,0,0
August,310830376.16,344761866.36,210420404.31,0,0
September,318990291.52,210214202.2,191837139,0,0
October,304693148.3,266639022.25,0,0,0
November,303936172.09,296062485.55,0,0,0
December,289911760.38,251155864.77,0,0,0
